icd_1,icd_2,ji
L10,L12,0.23529411764705882
L10,L20,0.017587939698492462
L10,L40,0.013293943870014771
L10,L51,0.04411764705882353
L10,L63,0.06521739130434782
L10,L71,0.08333333333333333
L10,M05,0.020958083832335328
L10,M06,0.0200445434298441
L10,M08,0.07894736842105263
L10,M12,0.1111111111111111
L10,M31,0.13953488372093023
L10,M32,0.014336917562724014
L10,M33,0.07692307692307693
L10,N02,0.04424778761061947
L10,N03,0.09523809523809523
L12,A16,0.25
L12,E06,0.09090909090909091
L12,G47,0.04411764705882353
L12,K50,0.011363636363636364
L12,K51,0.011461318051575931
L12,K90,0.04838709677419355
L12,A98,0.14285714285714285
L12,B73,0.125
L12,C52,0.125
L12,D50,0.09090909090909091
L12,H26,0.013452914798206279
L12,H71,0.125
L12,J41,0.1
L12,J84,0.044444444444444446
L12,J98,0.11764705882352941
L12,L63,0.0449438202247191
L12,L71,0.0967741935483871
L12,M08,0.09090909090909091
L12,M31,0.1
L12,M35,0.0425531914893617
L12,N02,0.02727272727272727
L12,N03,0.125
L13,I22,0.02564102564102564
L13,I63,0.07142857142857142
L13,J44,0.011278195488721804
L13,J80,0.08333333333333333
L13,K44,0.02197802197802198
L13,K50,0.00684931506849315
L13,A17,0.25
L13,H30,0.2
L13,J43,0.09090909090909091
L13,L23,0.11764705882352941
L13,L26,0.2
L13,L30,0.058823529411764705
L13,L52,0.3333333333333333
L13,M77,0.2
L52,I22,0.02564102564102564
L52,I63,0.07142857142857142
L52,J45,0.005578800557880056
L52,J80,0.08333333333333333
L52,K50,0.00684931506849315
L52,L40,0.005943536404160475
L52,C03,0.25
L52,J18,0.02857142857142857
L52,K74,0.08333333333333333
L52,L30,0.058823529411764705
L52,L73,0.09090909090909091
L52,M35,0.044444444444444446
L63,E06,0.046296296296296294
L63,J44,0.032448377581120944
L63,J45,0.044270833333333336
L63,K50,0.0398406374501992
L63,K51,0.04116222760290557
L63,K90,0.07575757575757576
L63,L40,0.048409405255878286
L63,L51,0.051470588235294115
L63,A48,0.04065040650406504
L63,A69,0.03296703296703297
L63,A98,0.0449438202247191
L63,B16,0.05555555555555555
L63,B19,0.04081632653061224
L63,B35,0.03125
L63,C11,0.022727272727272728
L63,C44,0.062146892655367235
L63,D50,0.030612244897959183
L63,D83,0.06
L63,D86,0.08823529411764706
L63,E03,0.03441682600382409
L63,E05,0.041666666666666664
L63,E27,0.022222222222222223
L63,F22,0.03
L63,G04,0.022988505747126436
L63,G35,0.03550295857988166
L63,G95,0.03333333333333333
L63,H06,0.023255813953488372
L63,J18,0.06179775280898876
L63,J30,0.05963302752293578
