,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
191,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Atenolol,0.008509639,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
192,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Alfuzosin,0.000411337,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
193,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Clozapine,4.51242899081164e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
194,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Norepinephrine,4.5179779789204986e-12,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
195,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Mirtazapine,2.814147808236041e-06,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
196,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Timolol,0.026795382,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
197,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Phenylephrine,0.000411337,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
198,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Phenylpropanolamine,0.0007118,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
199,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Loxapine,5.323470282605062e-07,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
200,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Pramipexole,0.008927828,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
